,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores,cv
0,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.01], ""learning_rate"": [0.15], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8877551020408163, ""auc"": 0.8854515050167224, ""fpr"": [0.0, 0.09302325581395349, 1.0], ""tpr"": [0.0, 0.8727272727272727, 1.0], ""mcc"": 0.7752910250826109, ""tnr"": 0.9069767441860465, ""ppv"": 0.9230769230769231, ""f_score"": 0.897196261682243, ""ap"": 0.8770229770229772, ""brier"": 0.11224489795918367, ""sensitivity"": 0.8727272727272727}",0
1,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.01], ""learning_rate"": [0.15], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.826530612244898, ""auc"": 0.8275000000000001, ""fpr"": [0.0, 0.13333333333333333, 1.0], ""tpr"": [0.0, 0.7924528301886793, 1.0], ""mcc"": 0.65705651997393, ""tnr"": 0.8666666666666667, ""ppv"": 0.875, ""f_score"": 0.8316831683168316, ""ap"": 0.805641124374278, ""brier"": 0.17346938775510204, ""sensitivity"": 0.7924528301886793}",1
2,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.01], ""learning_rate"": [0.15], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.7551020408163265, ""auc"": 0.7775862068965517, ""fpr"": [0.0, 0.09523809523809523, 1.0], ""tpr"": [0.0, 0.6428571428571429, 1.0], ""mcc"": 0.5513827967081918, ""tnr"": 0.9047619047619048, ""ppv"": 0.9, ""f_score"": 0.75, ""ap"": 0.7826530612244897, ""brier"": 0.24489795918367346, ""sensitivity"": 0.6428571428571429}",2
3,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.01], ""learning_rate"": [0.15], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8877551020408163, ""auc"": 0.8879598662207357, ""fpr"": [0.0, 0.1276595744680851, 1.0], ""tpr"": [0.0, 0.9019607843137255, 1.0], ""mcc"": 0.7751100486850476, ""tnr"": 0.8723404255319149, ""ppv"": 0.8846153846153846, ""f_score"": 0.8932038834951457, ""ap"": 0.8489087942869454, ""brier"": 0.11224489795918367, ""sensitivity"": 0.9019607843137255}",3
4,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.01], ""learning_rate"": [0.15], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8571428571428571, ""auc"": 0.8511904761904762, ""fpr"": [0.0, 0.15, 1.0], ""tpr"": [0.0, 0.8620689655172413, 1.0], ""mcc"": 0.7072083696909416, ""tnr"": 0.85, ""ppv"": 0.8928571428571429, ""f_score"": 0.8771929824561403, ""ap"": 0.8513370865587615, ""brier"": 0.14285714285714285, ""sensitivity"": 0.8620689655172413}",4
