,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores,cv
10,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8270089285714286, ""auc"": 0.827030487835259, ""fpr"": [0.0, 0.17982456140350878, 1.0], ""tpr"": [0.0, 0.8340909090909091, 1.0], ""mcc"": 0.6541636536194957, ""tnr"": 0.8201754385964912, ""ppv"": 0.8173719376391982, ""f_score"": 0.8256467941507313, ""ap"": 0.7632357168165911, ""brier"": 0.17299107142857142, ""sensitivity"": 0.8340909090909091}",0
11,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8303571428571429, ""auc"": 0.8303571428571428, ""fpr"": [0.0, 0.17543859649122806, 1.0], ""tpr"": [0.0, 0.8363636363636363, 1.0], ""mcc"": 0.6608196543914111, ""tnr"": 0.8245614035087719, ""ppv"": 0.8214285714285714, ""f_score"": 0.8288288288288289, ""ap"": 0.7673701298701299, ""brier"": 0.16964285714285715, ""sensitivity"": 0.8363636363636363}",0
12,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.3], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8247767857142857, ""auc"": 0.8247983338564944, ""fpr"": [0.0, 0.18201754385964913, 1.0], ""tpr"": [0.0, 0.8318181818181818, 1.0], ""mcc"": 0.6496986448313072, ""tnr"": 0.8179824561403509, ""ppv"": 0.8151447661469933, ""f_score"": 0.8233970753655793, ""ap"": 0.7606415230092847, ""brier"": 0.17522321428571427, ""sensitivity"": 0.8318181818181818}",0
13,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.3], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8258928571428571, ""auc"": 0.8259985649366179, ""fpr"": [0.0, 0.18421052631578946, 1.0], ""tpr"": [0.0, 0.8363636363636363, 1.0], ""mcc"": 0.6520751152966204, ""tnr"": 0.8157894736842105, ""ppv"": 0.8141592920353983, ""f_score"": 0.8251121076233183, ""ap"": 0.7612903689231123, ""brier"": 0.17410714285714285, ""sensitivity"": 0.8363636363636363}",0
14,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.3], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8258928571428571, ""auc"": 0.8258594917787744, ""fpr"": [0.0, 0.17763157894736842, 1.0], ""tpr"": [0.0, 0.8295454545454546, 1.0], ""mcc"": 0.6518164222937674, ""tnr"": 0.8223684210526315, ""ppv"": 0.8183856502242153, ""f_score"": 0.8239277652370203, ""ap"": 0.7625934533515811, ""brier"": 0.17410714285714285, ""sensitivity"": 0.8295454545454546}",0
15,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.3], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8225446428571429, ""auc"": 0.8225263199852517, ""fpr"": [0.0, 0.18201754385964913, 1.0], ""tpr"": [0.0, 0.8272727272727273, 1.0], ""mcc"": 0.6451539037433297, ""tnr"": 0.8179824561403509, ""ppv"": 0.814317673378076, ""f_score"": 0.8207440811724915, ""ap"": 0.7584842310932915, ""brier"": 0.17745535714285715, ""sensitivity"": 0.8272727272727273}",0
16,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.3], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8325892857142857, ""auc"": 0.8325358851674641, ""fpr"": [0.0, 0.16447368421052633, 1.0], ""tpr"": [0.0, 0.8295454545454546, 1.0], ""mcc"": 0.6650717703349283, ""tnr"": 0.8355263157894737, ""ppv"": 0.8295454545454546, ""f_score"": 0.8295454545454547, ""ap"": 0.771851018299882, ""brier"": 0.16741071428571427, ""sensitivity"": 0.8295454545454546}",0
17,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.3], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8337053571428571, ""auc"": 0.8336873015160806, ""fpr"": [0.0, 0.1600877192982456, 1.0], ""tpr"": [0.0, 0.8272727272727273, 1.0], ""mcc"": 0.6672797987695859, ""tnr"": 0.8399122807017544, ""ppv"": 0.8329519450800915, ""f_score"": 0.830102622576967, ""ap"": 0.7738998558649589, ""brier"": 0.16629464285714285, ""sensitivity"": 0.8272727272727273}",0
18,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8046875, ""auc"": 0.8047609556790155, ""fpr"": [0.0, 0.20394736842105263, 1.0], ""tpr"": [0.0, 0.8136363636363636, 1.0], ""mcc"": 0.6096054475622684, ""tnr"": 0.7960526315789473, ""ppv"": 0.7937915742793792, ""f_score"": 0.8035914702581368, ""ap"": 0.7373755471247156, ""brier"": 0.1953125, ""sensitivity"": 0.8136363636363636}",0
19,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8080357142857143, ""auc"": 0.808210576673909, ""fpr"": [0.0, 0.20394736842105263, 1.0], ""tpr"": [0.0, 0.8204545454545454, 1.0], ""mcc"": 0.6164641636901478, ""tnr"": 0.7960526315789473, ""ppv"": 0.7951541850220264, ""f_score"": 0.8076062639821029, ""ap"": 0.7405575082956691, ""brier"": 0.19196428571428573, ""sensitivity"": 0.8204545454545454}",0
