,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores,cv
0,3,3,3,0.975,1.0,"{""bagging_fraction"": [0.82], ""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""lambda_l1"": [0], ""learning_rate"": [0.15], ""max_bin"": [256], ""max_depth"": [12], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8392857142857143, ""auc"": 0.8388808802917015, ""fpr"": [0.0, 0.15991471215351813, 1.0], ""tpr"": [0.0, 0.8384074941451991, 1.0], ""mcc"": 0.6781271727823717, ""tnr"": 0.8400852878464818, ""ppv"": 0.8267898383371824, ""f_score"": 0.8325581395348837, ""ap"": 0.77019572511642, ""brier"": 0.16071428571428573, ""sensitivity"": 0.8384074941451991}",0
1,3,3,3,0.975,1.0,"{""bagging_fraction"": [0.82], ""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""lambda_l1"": [0], ""learning_rate"": [0.15], ""max_bin"": [256], ""max_depth"": [13], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8359375, ""auc"": 0.8355327468230695, ""fpr"": [0.0, 0.16417910447761194, 1.0], ""tpr"": [0.0, 0.8360655737704918, 1.0], ""mcc"": 0.6714758559994453, ""tnr"": 0.835820895522388, ""ppv"": 0.8225806451612904, ""f_score"": 0.829268292682927, ""ap"": 0.7658563590692756, ""brier"": 0.1640625, ""sensitivity"": 0.8360655737704918}",0
2,3,3,3,0.975,1.0,"{""bagging_fraction"": [0.82], ""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""lambda_l1"": [0], ""learning_rate"": [0.15], ""max_bin"": [256], ""max_depth"": [14], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8426339285714286, ""auc"": 0.8422333971902938, ""fpr"": [0.0, 0.15565031982942432, 1.0], ""tpr"": [0.0, 0.8407494145199064, 1.0], ""mcc"": 0.6847828715555294, ""tnr"": 0.8443496801705757, ""ppv"": 0.8310185185185185, ""f_score"": 0.8358556461001165, ""ap"": 0.7745711900425015, ""brier"": 0.15736607142857142, ""sensitivity"": 0.8407494145199064}",0
3,3,3,3,0.975,1.0,"{""bagging_fraction"": [0.82], ""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""lambda_l1"": [0], ""learning_rate"": [0.15], ""max_bin"": [256], ""max_depth"": [15], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8370535714285714, ""auc"": 0.8366569426783355, ""fpr"": [0.0, 0.16417910447761194, 1.0], ""tpr"": [0.0, 0.8384074941451991, 1.0], ""mcc"": 0.6737709823559149, ""tnr"": 0.835820895522388, ""ppv"": 0.8229885057471265, ""f_score"": 0.8306264501160093, ""ap"": 0.7670086593851786, ""brier"": 0.16294642857142858, ""sensitivity"": 0.8384074941451991}",0
4,3,3,3,0.975,1.0,"{""bagging_fraction"": [0.82], ""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""lambda_l1"": [0], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [12], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8415178571428571, ""auc"": 0.8411847096295041, ""fpr"": [0.0, 0.16417910447761194, 1.0], ""tpr"": [0.0, 0.8477751756440282, 1.0], ""mcc"": 0.682982469825959, ""tnr"": 0.835820895522388, ""ppv"": 0.8246013667425968, ""f_score"": 0.8360277136258661, ""ap"": 0.7716212113836535, ""brier"": 0.15848214285714285, ""sensitivity"": 0.8477751756440282}",0
5,3,3,3,0.975,1.0,"{""bagging_fraction"": [0.82], ""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""lambda_l1"": [0], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [13], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8493303571428571, ""auc"": 0.8490231259968102, ""fpr"": [0.0, 0.15778251599147122, 1.0], ""tpr"": [0.0, 0.8571428571428571, 1.0], ""mcc"": 0.6987029876375974, ""tnr"": 0.8422174840085288, ""ppv"": 0.8318181818181818, ""f_score"": 0.8442906574394464, ""ap"": 0.7810673701298702, ""brier"": 0.15066964285714285, ""sensitivity"": 0.8571428571428571}",0
6,3,3,3,0.975,1.0,"{""bagging_fraction"": [0.82], ""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""lambda_l1"": [0], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [14], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8482142857142857, ""auc"": 0.8478257615447946, ""fpr"": [0.0, 0.14925373134328357, 1.0], ""tpr"": [0.0, 0.8454332552693209, 1.0], ""mcc"": 0.6959154734326094, ""tnr"": 0.8507462686567164, ""ppv"": 0.8375870069605569, ""f_score"": 0.8414918414918415, ""ap"": 0.7817846241516653, ""brier"": 0.15178571428571427, ""sensitivity"": 0.8454332552693209}",0
7,3,3,3,0.975,1.0,"{""bagging_fraction"": [0.82], ""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""lambda_l1"": [0], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [15], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8359375, ""auc"": 0.8355815437379115, ""fpr"": [0.0, 0.16844349680170576, 1.0], ""tpr"": [0.0, 0.8407494145199064, 1.0], ""mcc"": 0.6717342595580592, ""tnr"": 0.8315565031982942, ""ppv"": 0.819634703196347, ""f_score"": 0.8300578034682081, ""ap"": 0.7650002539753831, ""brier"": 0.1640625, ""sensitivity"": 0.8407494145199064}",0
8,3,3,3,0.975,1.0,"{""bagging_fraction"": [0.82], ""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""lambda_l1"": [0], ""learning_rate"": [0.25], ""max_bin"": [256], ""max_depth"": [12], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8392857142857143, ""auc"": 0.8389516655617749, ""fpr"": [0.0, 0.16631130063965885, 1.0], ""tpr"": [0.0, 0.8454332552693209, 1.0], ""mcc"": 0.6785123692922513, ""tnr"": 0.8336886993603412, ""ppv"": 0.8223234624145785, ""f_score"": 0.8337182448036952, ""ap"": 0.7688803159992105, ""brier"": 0.16071428571428573, ""sensitivity"": 0.8454332552693209}",0
9,3,3,3,0.975,1.0,"{""bagging_fraction"": [0.82], ""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""lambda_l1"": [0], ""learning_rate"": [0.25], ""max_bin"": [256], ""max_depth"": [13], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.84375, ""auc"": 0.8433590146358492, ""fpr"": [0.0, 0.15778251599147122, 1.0], ""tpr"": [0.0, 0.8454332552693209, 1.0], ""mcc"": 0.6871842260297535, ""tnr"": 0.8422174840085288, ""ppv"": 0.8298850574712644, ""f_score"": 0.8375870069605569, ""ap"": 0.7752731399230128, ""brier"": 0.15625, ""sensitivity"": 0.8454332552693209}",0
