,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores,cv
0,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""lambda_l1"": [0.005], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8337053571428571, ""auc"": 0.8347868483560444, ""fpr"": [0.0, 0.19506726457399104, 1.0], ""tpr"": [0.0, 0.8622222222222222, 1.0], ""mcc"": 0.6683632330344955, ""tnr"": 0.804932735426009, ""ppv"": 0.8168421052631579, ""f_score"": 0.838918918918919, ""ap"": 0.773495843776107, ""brier"": 0.16629464285714285, ""sensitivity"": 0.8622222222222222}",0
1,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""lambda_l1"": [0.005], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8337053571428571, ""auc"": 0.8347868483560444, ""fpr"": [0.0, 0.19506726457399104, 1.0], ""tpr"": [0.0, 0.8622222222222222, 1.0], ""mcc"": 0.6683632330344955, ""tnr"": 0.804932735426009, ""ppv"": 0.8168421052631579, ""f_score"": 0.838918918918919, ""ap"": 0.773495843776107, ""brier"": 0.16629464285714285, ""sensitivity"": 0.8622222222222222}",0
2,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""lambda_l1"": [0.005], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [11], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8325892857142857, ""auc"": 0.8339372585133431, ""fpr"": [0.0, 0.19955156950672645, 1.0], ""tpr"": [0.0, 0.8644444444444445, 1.0], ""mcc"": 0.6663820283617448, ""tnr"": 0.8004484304932735, ""ppv"": 0.8138075313807531, ""f_score"": 0.8383620689655173, ""ap"": 0.771571756491997, ""brier"": 0.16741071428571427, ""sensitivity"": 0.8644444444444445}",0
3,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""lambda_l1"": [0.005], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [11], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8325892857142857, ""auc"": 0.8339372585133431, ""fpr"": [0.0, 0.19955156950672645, 1.0], ""tpr"": [0.0, 0.8644444444444445, 1.0], ""mcc"": 0.6663820283617448, ""tnr"": 0.8004484304932735, ""ppv"": 0.8138075313807531, ""f_score"": 0.8383620689655173, ""ap"": 0.771571756491997, ""brier"": 0.16741071428571427, ""sensitivity"": 0.8644444444444445}",0
4,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""lambda_l1"": [0.005], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [13], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8314732142857143, ""auc"": 0.8322342949918822, ""fpr"": [0.0, 0.19282511210762332, 1.0], ""tpr"": [0.0, 0.8555555555555555, 1.0], ""mcc"": 0.6635989476311444, ""tnr"": 0.8071748878923767, ""ppv"": 0.8174097664543525, ""f_score"": 0.8360477741585233, ""ap"": 0.7718841097125333, ""brier"": 0.16852678571428573, ""sensitivity"": 0.8555555555555555}",0
5,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""lambda_l1"": [0.005], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [13], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8314732142857143, ""auc"": 0.8322342949918822, ""fpr"": [0.0, 0.19282511210762332, 1.0], ""tpr"": [0.0, 0.8555555555555555, 1.0], ""mcc"": 0.6635989476311444, ""tnr"": 0.8071748878923767, ""ppv"": 0.8174097664543525, ""f_score"": 0.8360477741585233, ""ap"": 0.7718841097125333, ""brier"": 0.16852678571428573, ""sensitivity"": 0.8555555555555555}",0
6,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""lambda_l1"": [0.005], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [15], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8303571428571429, ""auc"": 0.8328109932497589, ""fpr"": [0.0, 0.21300448430493274, 1.0], ""tpr"": [0.0, 0.8733333333333333, 1.0], ""mcc"": 0.6629701352498649, ""tnr"": 0.7869955156950673, ""ppv"": 0.805327868852459, ""f_score"": 0.837953091684435, ""ap"": 0.766935743559719, ""brier"": 0.16964285714285715, ""sensitivity"": 0.8733333333333333}",0
7,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""lambda_l1"": [0.005], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [15], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8303571428571429, ""auc"": 0.8328109932497589, ""fpr"": [0.0, 0.21300448430493274, 1.0], ""tpr"": [0.0, 0.8733333333333333, 1.0], ""mcc"": 0.6629701352498649, ""tnr"": 0.7869955156950673, ""ppv"": 0.805327868852459, ""f_score"": 0.837953091684435, ""ap"": 0.766935743559719, ""brier"": 0.16964285714285715, ""sensitivity"": 0.8733333333333333}",0
8,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""lambda_l1"": [0.005], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8415178571428571, ""auc"": 0.8427170868347339, ""fpr"": [0.0, 0.18834080717488788, 1.0], ""tpr"": [0.0, 0.8711111111111111, 1.0], ""mcc"": 0.6841009421748933, ""tnr"": 0.8116591928251121, ""ppv"": 0.8235294117647058, ""f_score"": 0.8466522678185744, ""ap"": 0.7821177637721755, ""brier"": 0.15848214285714285, ""sensitivity"": 0.8711111111111111}",0
9,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""lambda_l1"": [0.005], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8415178571428571, ""auc"": 0.8427170868347339, ""fpr"": [0.0, 0.18834080717488788, 1.0], ""tpr"": [0.0, 0.8711111111111111, 1.0], ""mcc"": 0.6841009421748933, ""tnr"": 0.8116591928251121, ""ppv"": 0.8235294117647058, ""f_score"": 0.8466522678185744, ""ap"": 0.7821177637721755, ""brier"": 0.15848214285714285, ""sensitivity"": 0.8711111111111111}",0
