,dataid,acc,protein_k,rna_k,top_ratio,training_score,tune_param,scores,auc
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.1], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.01], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.001], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""lambda_l1"": [0.1], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""lambda_l1"": [0.01], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""lambda_l1"": [0.001], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""lambda_l1"": [0], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
3,3,0.8549107142857143,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8549107142857143, ""auc"": 0.8548521355976134, ""fpr"": [0.0, 0.1480637813211845, 1.0], ""tpr"": [0.0, 0.8577680525164114, 1.0], ""mcc"": 0.7097042711952268, ""tnr"": 0.8519362186788155, ""ppv"": 0.8577680525164114, ""f_score"": 0.8577680525164114, ""ap"": 0.80831067477494, ""brier"": 0.14508928571428573, ""sensitivity"": 0.8577680525164114}",0.8548521355976134
4,4,0.984472049689441,4,3,0.96,0.9937839937839937,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [30]}","{""acc"": 0.984472049689441, ""auc"": 0.9858172518019066, ""fpr"": [0.0, 0.03088803088803089, 1.0], ""tpr"": [0.0, 0.9948051948051948, 1.0], ""mcc"": 0.9677681411773426, ""tnr"": 0.9691119691119691, ""ppv"": 0.979539641943734, ""f_score"": 0.9871134020618557, ""ap"": 0.9775567143853588, ""brier"": 0.015527950310559006, ""sensitivity"": 0.9948051948051948}",0.9858172518019066
4,4,0.984472049689441,4,3,0.96,0.9937839937839937,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [100]}","{""acc"": 0.984472049689441, ""auc"": 0.9858172518019066, ""fpr"": [0.0, 0.03088803088803089, 1.0], ""tpr"": [0.0, 0.9948051948051948, 1.0], ""mcc"": 0.9677681411773426, ""tnr"": 0.9691119691119691, ""ppv"": 0.979539641943734, ""f_score"": 0.9871134020618557, ""ap"": 0.9775567143853588, ""brier"": 0.015527950310559006, ""sensitivity"": 0.9948051948051948}",0.9858172518019066
5,5,0.9407514450867052,4,6,0.945,0.998973958784936,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [1], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9407514450867052, ""auc"": 0.9408345788029493, ""fpr"": [0.0, 0.06596458743201018, 1.0], ""tpr"": [0.0, 0.9474535165723524, 1.0], ""mcc"": 0.8815790387674216, ""tnr"": 0.9340354125679898, ""ppv"": 0.9350353316617278, ""f_score"": 0.9412034646933976, ""ap"": 0.912203091136982, ""brier"": 0.059248554913294796, ""sensitivity"": 0.9474535165723524}",0.9408345788029493
