,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores,cv
0,1,3,3,0.99,0.879424778761062,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.85], ""lambda_l1"": [0.1], ""learning_rate"": [0.01], ""max_bin"": [256], ""max_depth"": [3], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8256637168141593, ""auc"": 0.8267444637156574, ""fpr"": [0.0, 0.14564831261101244, 1.0], ""tpr"": [0.0, 0.7971781305114638, 1.0], ""mcc"": 0.6525086374058859, ""tnr"": 0.8543516873889876, ""ppv"": 0.846441947565543, ""f_score"": 0.8210717529518619, ""ap"": 0.7765349208512069, ""brier"": 0.1743362831858407, ""sensitivity"": 0.7971781305114638}",0
1,1,3,3,0.99,0.9537610619469027,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.85], ""lambda_l1"": [0.1], ""learning_rate"": [0.01], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8663716814159292, ""auc"": 0.8664498583853423, ""fpr"": [0.0, 0.1261101243339254, 1.0], ""tpr"": [0.0, 0.8589065255731922, 1.0], ""mcc"": 0.7328480571843222, ""tnr"": 0.8738898756660746, ""ppv"": 0.8727598566308243, ""f_score"": 0.8657777777777778, ""ap"": 0.8204155962955298, ""brier"": 0.1336283185840708, ""sensitivity"": 0.8589065255731922}",0
2,1,3,3,0.99,0.9896017699115044,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.85], ""lambda_l1"": [0.1], ""learning_rate"": [0.01], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.879646017699115, ""auc"": 0.8797472122220446, ""fpr"": [0.0, 0.11190053285968028, 1.0], ""tpr"": [0.0, 0.8712522045855379, 1.0], ""mcc"": 0.7594230447307266, ""tnr"": 0.8880994671403197, ""ppv"": 0.8868940754039497, ""f_score"": 0.8790035587188612, ""ap"": 0.8373101883410479, ""brier"": 0.12035398230088495, ""sensitivity"": 0.8712522045855379}",0
3,1,3,3,0.99,0.9973451327433628,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.85], ""lambda_l1"": [0.1], ""learning_rate"": [0.01], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8876106194690265, ""auc"": 0.8876920570468957, ""fpr"": [0.0, 0.10479573712255773, 1.0], ""tpr"": [0.0, 0.8800705467372134, 1.0], ""mcc"": 0.7753294599280313, ""tnr"": 0.8952042628774423, ""ppv"": 0.8942652329749103, ""f_score"": 0.8871111111111111, ""ap"": 0.8471934836627534, ""brier"": 0.11238938053097346, ""sensitivity"": 0.8800705467372134}",0
4,1,3,3,0.99,0.9205752212389381,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.85], ""lambda_l1"": [0.1], ""learning_rate"": [0.02], ""max_bin"": [256], ""max_depth"": [3], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8407079646017699, ""auc"": 0.8410315736011964, ""fpr"": [0.0, 0.1438721136767318, 1.0], ""tpr"": [0.0, 0.8253968253968254, 1.0], ""mcc"": 0.6817938763086763, ""tnr"": 0.8561278863232682, ""ppv"": 0.8524590163934426, ""f_score"": 0.8387096774193549, ""ap"": 0.7912275853810744, ""brier"": 0.1592920353982301, ""sensitivity"": 0.8253968253968254}",0
5,1,3,3,0.99,0.9935840707964602,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.85], ""lambda_l1"": [0.1], ""learning_rate"": [0.02], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8778761061946903, ""auc"": 0.8778871064247027, ""fpr"": [0.0, 0.11900532859680284, 1.0], ""tpr"": [0.0, 0.8747795414462081, 1.0], ""mcc"": 0.7557742128494053, ""tnr"": 0.8809946714031972, ""ppv"": 0.8809946714031972, ""f_score"": 0.8778761061946903, ""ap"": 0.8335079730737214, ""brier"": 0.12212389380530973, ""sensitivity"": 0.8747795414462081}",0
6,1,3,3,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.85], ""lambda_l1"": [0.1], ""learning_rate"": [0.02], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8858407079646018, ""auc"": 0.8858387840513245, ""fpr"": [0.0, 0.11367673179396093, 1.0], ""tpr"": [0.0, 0.8853615520282186, 1.0], ""mcc"": 0.7716811941599341, ""tnr"": 0.8863232682060391, ""ppv"": 0.8869257950530035, ""f_score"": 0.8861429832303618, ""ap"": 0.8427721223357942, ""brier"": 0.11415929203539824, ""sensitivity"": 0.8853615520282186}",0
7,1,3,3,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.85], ""lambda_l1"": [0.1], ""learning_rate"": [0.02], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8849557522123894, ""auc"": 0.884966841153934, ""fpr"": [0.0, 0.11190053285968028, 1.0], ""tpr"": [0.0, 0.8818342151675485, 1.0], ""mcc"": 0.7699336823078682, ""tnr"": 0.8880994671403197, ""ppv"": 0.8880994671403197, ""f_score"": 0.8849557522123894, ""ap"": 0.842448531994632, ""brier"": 0.11504424778761062, ""sensitivity"": 0.8818342151675485}",0
8,1,3,3,0.99,0.9457964601769911,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.85], ""lambda_l1"": [0.1], ""learning_rate"": [0.03], ""max_bin"": [256], ""max_depth"": [3], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8619469026548673, ""auc"": 0.8620065227811735, ""fpr"": [0.0, 0.13143872113676733, 1.0], ""tpr"": [0.0, 0.855379188712522, 1.0], ""mcc"": 0.7239767556595667, ""tnr"": 0.8685612788632326, ""ppv"": 0.8676207513416816, ""f_score"": 0.8614564831261101, ""ap"": 0.8147111060742123, ""brier"": 0.13805309734513274, ""sensitivity"": 0.855379188712522}",0
9,1,3,3,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.85], ""lambda_l1"": [0.1], ""learning_rate"": [0.03], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8787610619469026, ""auc"": 0.8787750626566416, ""fpr"": [0.0, 0.12433392539964476, 1.0], ""tpr"": [0.0, 0.8818342151675485, 1.0], ""mcc"": 0.7575252071307752, ""tnr"": 0.8756660746003553, ""ppv"": 0.8771929824561403, ""f_score"": 0.8795074758135444, ""ap"": 0.8328308206329217, ""brier"": 0.12123893805309735, ""sensitivity"": 0.8818342151675485}",0
