,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores,cv
0,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.1], ""learning_rate"": [0.05], ""max_bin"": [256], ""max_depth"": [3], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8877551020408163, ""auc"": 0.893859649122807, ""fpr"": [0.0, 0.05454545454545454, 1.0], ""tpr"": [0.0, 0.813953488372093, 1.0], ""mcc"": 0.7734341364899802, ""tnr"": 0.9454545454545454, ""ppv"": 0.9210526315789473, ""f_score"": 0.8641975308641974, ""ap"": 0.8313266555092048, ""brier"": 0.11224489795918367, ""sensitivity"": 0.813953488372093}",0
1,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.1], ""learning_rate"": [0.05], ""max_bin"": [256], ""max_depth"": [3], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8775510204081632, ""auc"": 0.8809213385484572, ""fpr"": [0.0, 0.07272727272727272, 1.0], ""tpr"": [0.0, 0.813953488372093, 1.0], ""mcc"": 0.7514637479354974, ""tnr"": 0.9272727272727272, ""ppv"": 0.8974358974358975, ""f_score"": 0.8536585365853658, ""ap"": 0.812103732369513, ""brier"": 0.12244897959183673, ""sensitivity"": 0.813953488372093}",0
2,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.1], ""learning_rate"": [0.05], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8877551020408163, ""auc"": 0.893859649122807, ""fpr"": [0.0, 0.05454545454545454, 1.0], ""tpr"": [0.0, 0.813953488372093, 1.0], ""mcc"": 0.7734341364899802, ""tnr"": 0.9454545454545454, ""ppv"": 0.9210526315789473, ""f_score"": 0.8641975308641974, ""ap"": 0.8313266555092048, ""brier"": 0.11224489795918367, ""sensitivity"": 0.813953488372093}",0
3,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.1], ""learning_rate"": [0.05], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8877551020408163, ""auc"": 0.893859649122807, ""fpr"": [0.0, 0.05454545454545454, 1.0], ""tpr"": [0.0, 0.813953488372093, 1.0], ""mcc"": 0.7734341364899802, ""tnr"": 0.9454545454545454, ""ppv"": 0.9210526315789473, ""f_score"": 0.8641975308641974, ""ap"": 0.8313266555092048, ""brier"": 0.11224489795918367, ""sensitivity"": 0.813953488372093}",0
4,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.1], ""learning_rate"": [0.05], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8877551020408163, ""auc"": 0.8896551724137931, ""fpr"": [0.0, 0.07272727272727272, 1.0], ""tpr"": [0.0, 0.8372093023255814, 1.0], ""mcc"": 0.7718605794447277, ""tnr"": 0.9272727272727272, ""ppv"": 0.9, ""f_score"": 0.8674698795180723, ""ap"": 0.8249169435215947, ""brier"": 0.11224489795918367, ""sensitivity"": 0.8372093023255814}",0
5,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.1], ""learning_rate"": [0.05], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8877551020408163, ""auc"": 0.8896551724137931, ""fpr"": [0.0, 0.07272727272727272, 1.0], ""tpr"": [0.0, 0.8372093023255814, 1.0], ""mcc"": 0.7718605794447277, ""tnr"": 0.9272727272727272, ""ppv"": 0.9, ""f_score"": 0.8674698795180723, ""ap"": 0.8249169435215947, ""brier"": 0.11224489795918367, ""sensitivity"": 0.8372093023255814}",0
6,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.1], ""learning_rate"": [0.05], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8877551020408163, ""auc"": 0.893859649122807, ""fpr"": [0.0, 0.05454545454545454, 1.0], ""tpr"": [0.0, 0.813953488372093, 1.0], ""mcc"": 0.7734341364899802, ""tnr"": 0.9454545454545454, ""ppv"": 0.9210526315789473, ""f_score"": 0.8641975308641974, ""ap"": 0.8313266555092048, ""brier"": 0.11224489795918367, ""sensitivity"": 0.813953488372093}",0
7,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.1], ""learning_rate"": [0.05], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8877551020408163, ""auc"": 0.893859649122807, ""fpr"": [0.0, 0.05454545454545454, 1.0], ""tpr"": [0.0, 0.813953488372093, 1.0], ""mcc"": 0.7734341364899802, ""tnr"": 0.9454545454545454, ""ppv"": 0.9210526315789473, ""f_score"": 0.8641975308641974, ""ap"": 0.8313266555092048, ""brier"": 0.11224489795918367, ""sensitivity"": 0.813953488372093}",0
8,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.1], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [3], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8775510204081632, ""auc"": 0.8809213385484572, ""fpr"": [0.0, 0.07272727272727272, 1.0], ""tpr"": [0.0, 0.813953488372093, 1.0], ""mcc"": 0.7514637479354974, ""tnr"": 0.9272727272727272, ""ppv"": 0.8974358974358975, ""f_score"": 0.8536585365853658, ""ap"": 0.812103732369513, ""brier"": 0.12244897959183673, ""sensitivity"": 0.813953488372093}",0
9,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.1], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [3], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8775510204081632, ""auc"": 0.8809213385484572, ""fpr"": [0.0, 0.07272727272727272, 1.0], ""tpr"": [0.0, 0.813953488372093, 1.0], ""mcc"": 0.7514637479354974, ""tnr"": 0.9272727272727272, ""ppv"": 0.8974358974358975, ""f_score"": 0.8536585365853658, ""ap"": 0.812103732369513, ""brier"": 0.12244897959183673, ""sensitivity"": 0.813953488372093}",0
