,DATAID,test_score,train_score,RNA_K,PROTEIN_K,TOP_RATIO
14,0,"{'acc': 0.9507803121248499, 'auc': 0.9515295041413492, 'fpr': array([0.        , 0.07341176, 1.        ]), 'tpr': array([0.        , 0.97598039, 1.        ]), 'mcc': 0.9028137845718566, 'tnr': 0.9265882352941176, 'ppv': 0.9273404750815091, 'f_score': 0.9510389300214952, 'ap': 0.9168308264153355, 'brier': 0.04921968787515006, 'sensitivity': 0.9759803921568627}",1.0,3,5,0.99
15,0,"{'acc': 0.9457382953181273, 'auc': 0.9468457168598275, 'fpr': array([0.       , 0.0782987, 1.       ]), 'tpr': array([0.        , 0.96946565, 1.        ]), 'mcc': 0.892428301128321, 'tnr': 0.9217013049782503, 'ppv': 0.92616226071103, 'f_score': 0.9473193473193472, 'ap': 0.9132486434837804, 'brier': 0.05426170468187275, 'sensitivity': 0.9694656488549618}",1.0,3,6,0.93
16,0,"{'acc': 0.9490996398559424, 'auc': 0.9506991779065155, 'fpr': array([0.        , 0.07890891, 1.        ]), 'tpr': array([0.        , 0.97632576, 1.        ]), 'mcc': 0.899405396621665, 'tnr': 0.9210910862152947, 'ppv': 0.927158273381295, 'f_score': 0.9511070110701106, 'ap': 0.9172133055723926, 'brier': 0.050900360144057626, 'sensitivity': 0.9763257575757576}",1.0,3,6,0.9450000000000001
17,0,"{'acc': 0.9450180072028812, 'auc': 0.9462834079068229, 'fpr': array([0.        , 0.08478568, 1.        ]), 'tpr': array([0.        , 0.97600392, 1.        ]), 'mcc': 0.8918922715619287, 'tnr': 0.9152143193593971, 'ppv': 0.9171652093879429, 'f_score': 0.9456702253855278, 'ap': 0.9069215434485479, 'brier': 0.05498199279711885, 'sensitivity': 0.9760039177277179}",1.0,3,6,0.96
18,0,"{'acc': 0.9498199279711885, 'auc': 0.950445748293198, 'fpr': array([0.        , 0.07360525, 1.        ]), 'tpr': array([0.        , 0.97440945, 1.        ]), 'mcc': 0.9008478462349445, 'tnr': 0.9263947491795593, 'ppv': 0.9265325222274217, 'f_score': 0.949868073878628, 'ap': 0.9153070382940041, 'brier': 0.05018007202881152, 'sensitivity': 0.9744094488188977}",1.0,3,6,0.975
19,0,"{'acc': 0.9503001200480192, 'auc': 0.9523404075886875, 'fpr': array([0.        , 0.08285164, 1.        ]), 'tpr': array([0.        , 0.98324557, 1.        ]), 'mcc': 0.9025348294910215, 'tnr': 0.9171483622350675, 'ppv': 0.9227313566936208, 'f_score': 0.9520278099652375, 'ap': 0.9156748819997302, 'brier': 0.049699879951980795, 'sensitivity': 0.9832455720440402}",1.0,3,6,0.99
20,0,"{'acc': 0.9466986794717888, 'auc': 0.9475822960311655, 'fpr': array([0.        , 0.07338552, 1.        ]), 'tpr': array([0.        , 0.96605375, 1.        ]), 'mcc': 0.8939155394295148, 'tnr': 0.9266144814090019, 'ppv': 0.931787175989086, 'f_score': 0.9486111111111112, 'ap': 0.9174434086846416, 'brier': 0.053301320528211286, 'sensitivity': 0.9660537482319661}",1.0,4,3,0.93
21,0,"{'acc': 0.9546218487394958, 'auc': 0.9549443579542178, 'fpr': array([0.        , 0.06498364, 1.        ]), 'tpr': array([0.        , 0.97532083, 1.        ]), 'mcc': 0.9101129263330312, 'tnr': 0.9350163627863488, 'ppv': 0.9342789598108747, 'f_score': 0.9543588505191982, 'ap': 0.9232265317264389, 'brier': 0.0453781512605042, 'sensitivity': 0.9753208292201382}",1.0,4,3,0.9450000000000001
22,0,"{'acc': 0.9493397358943577, 'auc': 0.950221537627876, 'fpr': array([0.        , 0.07135922, 1.        ]), 'tpr': array([0.       , 0.9695962, 1.       ]), 'mcc': 0.8993393492889874, 'tnr': 0.9286407766990291, 'ppv': 0.9328153564899452, 'f_score': 0.9508502212904728, 'ap': 0.9198203709697369, 'brier': 0.050660264105642255, 'sensitivity': 0.9695961995249406}",1.0,4,3,0.96
23,0,"{'acc': 0.9466986794717888, 'auc': 0.9472114757601195, 'fpr': array([0.        , 0.07288216, 1.        ]), 'tpr': array([0.       , 0.9668616, 1.       ]), 'mcc': 0.8942011684489367, 'tnr': 0.927117841930904, 'ppv': 0.9279700654817586, 'f_score': 0.947016706443914, 'ap': 0.9135451514289159, 'brier': 0.053301320528211286, 'sensitivity': 0.9668615984405458}",1.0,4,3,0.975
