,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores
10,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.95], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [215]}","{""acc"": 0.9450180072028812, ""auc"": 0.946153120430209, ""fpr"": [0.0, 0.07959479015918958, 1.0], ""tpr"": [0.0, 0.9694072657743786, 1.0], ""mcc"": 0.8910584858396735, ""tnr"": 0.9204052098408104, ""ppv"": 0.9247606019151847, ""f_score"": 0.9465577596266045, ""ap"": 0.9118357930570512, ""brier"": 0.05498199279711885, ""sensitivity"": 0.9694072657743786}"
11,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.95], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [250]}","{""acc"": 0.9469387755102041, ""auc"": 0.9480793119172287, ""fpr"": [0.0, 0.07766521948866377, 1.0], ""tpr"": [0.0, 0.97131931166348, 1.0], ""mcc"": 0.8949054818400738, ""tnr"": 0.9223347805113362, ""ppv"": 0.9265845873233014, ""f_score"": 0.9484247374562427, ""ap"": 0.9144152658617807, ""brier"": 0.053061224489795916, ""sensitivity"": 0.97131931166348}"
12,1,3,3,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [150]}","{""acc"": 0.8849557522123894, ""auc"": 0.8852642113816548, ""fpr"": [0.0, 0.12926391382405744, 1.0], ""tpr"": [0.0, 0.8987783595113438, 1.0], ""mcc"": 0.7700212673225376, ""tnr"": 0.8707360861759426, ""ppv"": 0.8773424190800682, ""f_score"": 0.8879310344827587, ""ap"": 0.8398638137788161, ""brier"": 0.11504424778761062, ""sensitivity"": 0.8987783595113438}"
13,1,3,3,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [185]}","{""acc"": 0.8867256637168142, ""auc"": 0.8870368104511187, ""fpr"": [0.0, 0.12746858168761221, 1.0], ""tpr"": [0.0, 0.900523560209424, 1.0], ""mcc"": 0.7735641320413454, ""tnr"": 0.8725314183123878, ""ppv"": 0.879045996592845, ""f_score"": 0.8896551724137931, ""ap"": 0.8420441083157363, ""brier"": 0.11327433628318584, ""sensitivity"": 0.900523560209424}"
14,1,3,3,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [215]}","{""acc"": 0.8867256637168142, ""auc"": 0.8870368104511187, ""fpr"": [0.0, 0.12746858168761221, 1.0], ""tpr"": [0.0, 0.900523560209424, 1.0], ""mcc"": 0.7735641320413454, ""tnr"": 0.8725314183123878, ""ppv"": 0.879045996592845, ""f_score"": 0.8896551724137931, ""ap"": 0.8420441083157363, ""brier"": 0.11327433628318584, ""sensitivity"": 0.900523560209424}"
15,1,3,3,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [250]}","{""acc"": 0.8867256637168142, ""auc"": 0.8870368104511187, ""fpr"": [0.0, 0.12746858168761221, 1.0], ""tpr"": [0.0, 0.900523560209424, 1.0], ""mcc"": 0.7735641320413454, ""tnr"": 0.8725314183123878, ""ppv"": 0.879045996592845, ""f_score"": 0.8896551724137931, ""ap"": 0.8420441083157363, ""brier"": 0.11327433628318584, ""sensitivity"": 0.900523560209424}"
16,1,3,3,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [150]}","{""acc"": 0.8867256637168142, ""auc"": 0.8870368104511187, ""fpr"": [0.0, 0.12746858168761221, 1.0], ""tpr"": [0.0, 0.900523560209424, 1.0], ""mcc"": 0.7735641320413454, ""tnr"": 0.8725314183123878, ""ppv"": 0.879045996592845, ""f_score"": 0.8896551724137931, ""ap"": 0.8420441083157363, ""brier"": 0.11327433628318584, ""sensitivity"": 0.900523560209424}"
17,1,3,3,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [185]}","{""acc"": 0.8849557522123894, ""auc"": 0.8854461950908652, ""fpr"": [0.0, 0.13285457809694792, 1.0], ""tpr"": [0.0, 0.9022687609075044, 1.0], ""mcc"": 0.7701529318431194, ""tnr"": 0.8671454219030521, ""ppv"": 0.8747884940778342, ""f_score"": 0.8883161512027491, ""ap"": 0.838851852731643, ""brier"": 0.11504424778761062, ""sensitivity"": 0.9022687609075044}"
18,1,3,3,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [215]}","{""acc"": 0.8849557522123894, ""auc"": 0.8854461950908652, ""fpr"": [0.0, 0.13285457809694792, 1.0], ""tpr"": [0.0, 0.9022687609075044, 1.0], ""mcc"": 0.7701529318431194, ""tnr"": 0.8671454219030521, ""ppv"": 0.8747884940778342, ""f_score"": 0.8883161512027491, ""ap"": 0.838851852731643, ""brier"": 0.11504424778761062, ""sensitivity"": 0.9022687609075044}"
19,1,3,3,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [250]}","{""acc"": 0.8849557522123894, ""auc"": 0.8854461950908652, ""fpr"": [0.0, 0.13285457809694792, 1.0], ""tpr"": [0.0, 0.9022687609075044, 1.0], ""mcc"": 0.7701529318431194, ""tnr"": 0.8671454219030521, ""ppv"": 0.8747884940778342, ""f_score"": 0.8883161512027491, ""ap"": 0.838851852731643, ""brier"": 0.11504424778761062, ""sensitivity"": 0.9022687609075044}"
20,1,3,3,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.95], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [150]}","{""acc"": 0.8911504424778761, ""auc"": 0.8914280515960651, ""fpr"": [0.0, 0.12208258527827648, 1.0], ""tpr"": [0.0, 0.9040139616055847, 1.0], ""mcc"": 0.782393603140552, ""tnr"": 0.8779174147217235, ""ppv"": 0.8839590443686007, ""f_score"": 0.8938740293356343, ""ap"": 0.847783883968427, ""brier"": 0.1088495575221239, ""sensitivity"": 0.9040139616055847}"
21,1,3,3,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.95], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [185]}","{""acc"": 0.8884955752212389, ""auc"": 0.888664507166801, ""fpr"": [0.0, 0.12208258527827648, 1.0], ""tpr"": [0.0, 0.8987783595113438, 1.0], ""mcc"": 0.7770123297745436, ""tnr"": 0.8779174147217235, ""ppv"": 0.8833619210977701, ""f_score"": 0.8910034602076125, ""ap"": 0.8452740119273615, ""brier"": 0.11150442477876106, ""sensitivity"": 0.8987783595113438}"
22,1,3,3,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.95], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [215]}","{""acc"": 0.8884955752212389, ""auc"": 0.888664507166801, ""fpr"": [0.0, 0.12208258527827648, 1.0], ""tpr"": [0.0, 0.8987783595113438, 1.0], ""mcc"": 0.7770123297745436, ""tnr"": 0.8779174147217235, ""ppv"": 0.8833619210977701, ""f_score"": 0.8910034602076125, ""ap"": 0.8452740119273615, ""brier"": 0.11150442477876106, ""sensitivity"": 0.8987783595113438}"
23,1,3,3,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.95], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [250]}","{""acc"": 0.8884955752212389, ""auc"": 0.888664507166801, ""fpr"": [0.0, 0.12208258527827648, 1.0], ""tpr"": [0.0, 0.8987783595113438, 1.0], ""mcc"": 0.7770123297745436, ""tnr"": 0.8779174147217235, ""ppv"": 0.8833619210977701, ""f_score"": 0.8910034602076125, ""ap"": 0.8452740119273615, ""brier"": 0.11150442477876106, ""sensitivity"": 0.8987783595113438}"
24,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [30]}","{""acc"": 0.826530612244898, ""auc"": 0.8312368972746331, ""fpr"": [0.0, 0.23076923076923078, 1.0], ""tpr"": [0.0, 0.8913043478260869, 1.0], ""mcc"": 0.6615037455900754, ""tnr"": 0.7692307692307693, ""ppv"": 0.7735849056603774, ""f_score"": 0.8282828282828283, ""ap"": 0.740519997990993, ""brier"": 0.17346938775510204, ""sensitivity"": 0.8913043478260869}"
25,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [50]}","{""acc"": 0.826530612244898, ""auc"": 0.8312368972746331, ""fpr"": [0.0, 0.23076923076923078, 1.0], ""tpr"": [0.0, 0.8913043478260869, 1.0], ""mcc"": 0.6615037455900754, ""tnr"": 0.7692307692307693, ""ppv"": 0.7735849056603774, ""f_score"": 0.8282828282828283, ""ap"": 0.740519997990993, ""brier"": 0.17346938775510204, ""sensitivity"": 0.8913043478260869}"
26,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [80]}","{""acc"": 0.826530612244898, ""auc"": 0.8312368972746331, ""fpr"": [0.0, 0.23076923076923078, 1.0], ""tpr"": [0.0, 0.8913043478260869, 1.0], ""mcc"": 0.6615037455900754, ""tnr"": 0.7692307692307693, ""ppv"": 0.7735849056603774, ""f_score"": 0.8282828282828283, ""ap"": 0.740519997990993, ""brier"": 0.17346938775510204, ""sensitivity"": 0.8913043478260869}"
27,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [100]}","{""acc"": 0.826530612244898, ""auc"": 0.8312368972746331, ""fpr"": [0.0, 0.23076923076923078, 1.0], ""tpr"": [0.0, 0.8913043478260869, 1.0], ""mcc"": 0.6615037455900754, ""tnr"": 0.7692307692307693, ""ppv"": 0.7735849056603774, ""f_score"": 0.8282828282828283, ""ap"": 0.740519997990993, ""brier"": 0.17346938775510204, ""sensitivity"": 0.8913043478260869}"
28,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [30]}","{""acc"": 0.826530612244898, ""auc"": 0.8312368972746331, ""fpr"": [0.0, 0.23076923076923078, 1.0], ""tpr"": [0.0, 0.8913043478260869, 1.0], ""mcc"": 0.6615037455900754, ""tnr"": 0.7692307692307693, ""ppv"": 0.7735849056603774, ""f_score"": 0.8282828282828283, ""ap"": 0.740519997990993, ""brier"": 0.17346938775510204, ""sensitivity"": 0.8913043478260869}"
29,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [50]}","{""acc"": 0.826530612244898, ""auc"": 0.8312368972746331, ""fpr"": [0.0, 0.23076923076923078, 1.0], ""tpr"": [0.0, 0.8913043478260869, 1.0], ""mcc"": 0.6615037455900754, ""tnr"": 0.7692307692307693, ""ppv"": 0.7735849056603774, ""f_score"": 0.8282828282828283, ""ap"": 0.740519997990993, ""brier"": 0.17346938775510204, ""sensitivity"": 0.8913043478260869}"
30,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [80]}","{""acc"": 0.826530612244898, ""auc"": 0.8312368972746331, ""fpr"": [0.0, 0.23076923076923078, 1.0], ""tpr"": [0.0, 0.8913043478260869, 1.0], ""mcc"": 0.6615037455900754, ""tnr"": 0.7692307692307693, ""ppv"": 0.7735849056603774, ""f_score"": 0.8282828282828283, ""ap"": 0.740519997990993, ""brier"": 0.17346938775510204, ""sensitivity"": 0.8913043478260869}"
31,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [100]}","{""acc"": 0.826530612244898, ""auc"": 0.8312368972746331, ""fpr"": [0.0, 0.23076923076923078, 1.0], ""tpr"": [0.0, 0.8913043478260869, 1.0], ""mcc"": 0.6615037455900754, ""tnr"": 0.7692307692307693, ""ppv"": 0.7735849056603774, ""f_score"": 0.8282828282828283, ""ap"": 0.740519997990993, ""brier"": 0.17346938775510204, ""sensitivity"": 0.8913043478260869}"
32,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.95], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [30]}","{""acc"": 0.8163265306122449, ""auc"": 0.8193979933110367, ""fpr"": [0.0, 0.23076923076923078, 1.0], ""tpr"": [0.0, 0.8695652173913043, 1.0], ""mcc"": 0.6387959866220736, ""tnr"": 0.7692307692307693, ""ppv"": 0.7692307692307693, ""f_score"": 0.8163265306122449, ""ap"": 0.7301208108661525, ""brier"": 0.1836734693877551, ""sensitivity"": 0.8695652173913043}"
33,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.95], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [50]}","{""acc"": 0.8163265306122449, ""auc"": 0.8193979933110367, ""fpr"": [0.0, 0.23076923076923078, 1.0], ""tpr"": [0.0, 0.8695652173913043, 1.0], ""mcc"": 0.6387959866220736, ""tnr"": 0.7692307692307693, ""ppv"": 0.7692307692307693, ""f_score"": 0.8163265306122449, ""ap"": 0.7301208108661525, ""brier"": 0.1836734693877551, ""sensitivity"": 0.8695652173913043}"
34,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.95], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [80]}","{""acc"": 0.8163265306122449, ""auc"": 0.8193979933110367, ""fpr"": [0.0, 0.23076923076923078, 1.0], ""tpr"": [0.0, 0.8695652173913043, 1.0], ""mcc"": 0.6387959866220736, ""tnr"": 0.7692307692307693, ""ppv"": 0.7692307692307693, ""f_score"": 0.8163265306122449, ""ap"": 0.7301208108661525, ""brier"": 0.1836734693877551, ""sensitivity"": 0.8695652173913043}"
35,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.95], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [100]}","{""acc"": 0.8163265306122449, ""auc"": 0.8193979933110367, ""fpr"": [0.0, 0.23076923076923078, 1.0], ""tpr"": [0.0, 0.8695652173913043, 1.0], ""mcc"": 0.6387959866220736, ""tnr"": 0.7692307692307693, ""ppv"": 0.7692307692307693, ""f_score"": 0.8163265306122449, ""ap"": 0.7301208108661525, ""brier"": 0.1836734693877551, ""sensitivity"": 0.8695652173913043}"
36,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [150]}","{""acc"": 0.8348214285714286, ""auc"": 0.8348588654425869, ""fpr"": [0.0, 0.15955056179775282, 1.0], ""tpr"": [0.0, 0.8292682926829268, 1.0], ""mcc"": 0.6697177308851741, ""tnr"": 0.8404494382022472, ""ppv"": 0.8404494382022472, ""f_score"": 0.8348214285714285, ""ap"": 0.7828955707043025, ""brier"": 0.16517857142857142, ""sensitivity"": 0.8292682926829268}"
37,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [185]}","{""acc"": 0.8348214285714286, ""auc"": 0.8348588654425869, ""fpr"": [0.0, 0.15955056179775282, 1.0], ""tpr"": [0.0, 0.8292682926829268, 1.0], ""mcc"": 0.6697177308851741, ""tnr"": 0.8404494382022472, ""ppv"": 0.8404494382022472, ""f_score"": 0.8348214285714285, ""ap"": 0.7828955707043025, ""brier"": 0.16517857142857142, ""sensitivity"": 0.8292682926829268}"
38,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [215]}","{""acc"": 0.8348214285714286, ""auc"": 0.8348588654425869, ""fpr"": [0.0, 0.15955056179775282, 1.0], ""tpr"": [0.0, 0.8292682926829268, 1.0], ""mcc"": 0.6697177308851741, ""tnr"": 0.8404494382022472, ""ppv"": 0.8404494382022472, ""f_score"": 0.8348214285714285, ""ap"": 0.7828955707043025, ""brier"": 0.16517857142857142, ""sensitivity"": 0.8292682926829268}"
39,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [250]}","{""acc"": 0.8348214285714286, ""auc"": 0.8348588654425869, ""fpr"": [0.0, 0.15955056179775282, 1.0], ""tpr"": [0.0, 0.8292682926829268, 1.0], ""mcc"": 0.6697177308851741, ""tnr"": 0.8404494382022472, ""ppv"": 0.8404494382022472, ""f_score"": 0.8348214285714285, ""ap"": 0.7828955707043025, ""brier"": 0.16517857142857142, ""sensitivity"": 0.8292682926829268}"
40,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [150]}","{""acc"": 0.8415178571428571, ""auc"": 0.8415270324808298, ""fpr"": [0.0, 0.1550561797752809, 1.0], ""tpr"": [0.0, 0.8381374722838137, 1.0], ""mcc"": 0.6830676785994327, ""tnr"": 0.8449438202247191, ""ppv"": 0.8456375838926175, ""f_score"": 0.841870824053452, ""ap"": 0.7902337613176642, ""brier"": 0.15848214285714285, ""sensitivity"": 0.8381374722838137}"
41,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [185]}","{""acc"": 0.8415178571428571, ""auc"": 0.8415270324808298, ""fpr"": [0.0, 0.1550561797752809, 1.0], ""tpr"": [0.0, 0.8381374722838137, 1.0], ""mcc"": 0.6830676785994327, ""tnr"": 0.8449438202247191, ""ppv"": 0.8456375838926175, ""f_score"": 0.841870824053452, ""ap"": 0.7902337613176642, ""brier"": 0.15848214285714285, ""sensitivity"": 0.8381374722838137}"
42,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [215]}","{""acc"": 0.8415178571428571, ""auc"": 0.8415270324808298, ""fpr"": [0.0, 0.1550561797752809, 1.0], ""tpr"": [0.0, 0.8381374722838137, 1.0], ""mcc"": 0.6830676785994327, ""tnr"": 0.8449438202247191, ""ppv"": 0.8456375838926175, ""f_score"": 0.841870824053452, ""ap"": 0.7902337613176642, ""brier"": 0.15848214285714285, ""sensitivity"": 0.8381374722838137}"
