,DATAID,RNA_K,PROTEIN_K,TOP_RATIO,acc,auc,train_score
0,0,3,3,0.96,0.9517406962785114,0.9522669049155221,0.9750285131160333
0,1,4,3,0.93,0.8699115044247787,0.8698104693140793,0.968141592920354
0,2,3,6,0.99,0.9387755102040817,0.944806605823555,0.8814432989690721
0,3,5,3,0.99,0.8772321428571429,0.8778619864379735,0.9698660714285714
0,4,6,3,0.96,0.9860248447204969,0.9865986394557823,0.9906759906759907
