,dataid,cv,training_score,tune_param,acc,auc
28,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [100]}",0.8784501061571125,0.8789426996573627
29,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [200]}",0.8832271762208068,0.8834965910436651
30,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [300]}",0.8832271762208068,0.8834965910436651
31,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [500]}",0.8832271762208068,0.8834965910436651
32,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [100]}",0.8805732484076433,0.881012132591897
33,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [200]}",0.8720806794055201,0.8726228101860212
34,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [300]}",0.8720806794055201,0.8726228101860212
35,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [500]}",0.8720806794055201,0.8726228101860212
36,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [100]}",0.8752653927813163,0.8758127144663175
37,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [200]}",0.8736730360934183,0.8743128184689104
