,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores
0,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8877551020408163, ""auc"": 0.8854818523153942, ""fpr"": [0.0, 0.07142857142857142, 1.0], ""tpr"": [0.0, 0.8571428571428571, 1.0], ""mcc"": 0.7783040514449475, ""tnr"": 0.9285714285714286, ""ppv"": 0.9411764705882353, ""f_score"": 0.897196261682243, ""ap"": 0.8883553421368546, ""brier"": 0.11224489795918367, ""sensitivity"": 0.8571428571428571}"
1,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9081632653061225, ""auc"": 0.9083333333333332, ""fpr"": [0.0, 0.08163265306122448, 1.0], ""tpr"": [0.0, 0.8979591836734694, 1.0], ""mcc"": 0.8164965809277261, ""tnr"": 0.9183673469387755, ""ppv"": 0.9166666666666666, ""f_score"": 0.9072164948453607, ""ap"": 0.8741496598639455, ""brier"": 0.09183673469387756, ""sensitivity"": 0.8979591836734694}"
2,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8571428571428571, ""auc"": 0.8585732165206508, ""fpr"": [0.0, 0.10638297872340426, 1.0], ""tpr"": [0.0, 0.8235294117647058, 1.0], ""mcc"": 0.7171464330413017, ""tnr"": 0.8936170212765957, ""ppv"": 0.8936170212765957, ""f_score"": 0.8571428571428571, ""ap"": 0.8277566345687211, ""brier"": 0.14285714285714285, ""sensitivity"": 0.8235294117647058}"
3,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8469387755102041, ""auc"": 0.8526936026936027, ""fpr"": [0.0, 0.0851063829787234, 1.0], ""tpr"": [0.0, 0.7843137254901961, 1.0], ""mcc"": 0.7022904764557057, ""tnr"": 0.9148936170212766, ""ppv"": 0.9090909090909091, ""f_score"": 0.8421052631578948, ""ap"": 0.8252573756775438, ""brier"": 0.15306122448979592, ""sensitivity"": 0.7843137254901961}"
4,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8469387755102041, ""auc"": 0.8517819706498951, ""fpr"": [0.0, 0.08695652173913043, 1.0], ""tpr"": [0.0, 0.7884615384615384, 1.0], ""mcc"": 0.7025337247469282, ""tnr"": 0.9130434782608695, ""ppv"": 0.9111111111111111, ""f_score"": 0.845360824742268, ""ap"": 0.8306209663352521, ""brier"": 0.15306122448979592, ""sensitivity"": 0.7884615384615384}"
