,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores
0,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9459783913565426, ""auc"": 0.9473530293316904, ""fpr"": [0.0, 0.08197507190795782, 1.0], ""tpr"": [0.0, 0.974025974025974, 1.0], ""mcc"": 0.8933774939862339, ""tnr"": 0.9180249280920422, ""ppv"": 0.9221311475409836, ""f_score"": 0.9473684210526316, ""ap"": 0.9111448752377255, ""brier"": 0.05402160864345738, ""sensitivity"": 0.974025974025974}"
1,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9519807923169268, ""auc"": 0.9525483740541788, ""fpr"": [0.0, 0.0638401559454191, 1.0], ""tpr"": [0.0, 0.9673450070989115, 1.0], ""mcc"": 0.904300449341452, ""tnr"": 0.9361598440545809, ""ppv"": 0.9397701149425287, ""f_score"": 0.9533582089552238, ""ap"": 0.9256485551610856, ""brier"": 0.04801920768307323, ""sensitivity"": 0.9673450070989115}"
2,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9466986794717888, ""auc"": 0.9475702470242306, ""fpr"": [0.0, 0.07358674463937621, 1.0], ""tpr"": [0.0, 0.9663984855655466, 1.0], ""mcc"": 0.8939753592045583, ""tnr"": 0.9264132553606238, ""ppv"": 0.9311445508435933, ""f_score"": 0.9484440315838365, ""ap"": 0.9169035025053507, ""brier"": 0.053301320528211286, ""sensitivity"": 0.9663984855655466}"
3,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9490996398559424, ""auc"": 0.9499947325060286, ""fpr"": [0.0, 0.07338129496402877, 1.0], ""tpr"": [0.0, 0.9716346153846154, 1.0], ""mcc"": 0.8991209736685203, ""tnr"": 0.9266187050359712, ""ppv"": 0.9296228150873965, ""f_score"": 0.9501645510108133, ""ap"": 0.9174193726567126, ""brier"": 0.050900360144057626, ""sensitivity"": 0.9716346153846154}"
4,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9505402160864346, ""auc"": 0.9516139732516214, ""fpr"": [0.0, 0.0735930735930736, 1.0], ""tpr"": [0.0, 0.9745925215723873, 1.0], ""mcc"": 0.9021130091063486, ""tnr"": 0.9264069264069265, ""ppv"": 0.9300091491308325, ""f_score"": 0.9517790262172284, ""ap"": 0.9191050517728229, ""brier"": 0.049459783913565425, ""sensitivity"": 0.9745925215723873}"
5,1,3,3,0.99,0.9991150442477876,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8716814159292036, ""auc"": 0.8716730990927772, ""fpr"": [0.0, 0.1282952548330404, 1.0], ""tpr"": [0.0, 0.8716577540106952, 1.0], ""mcc"": 0.7433543486369217, ""tnr"": 0.8717047451669596, ""ppv"": 0.8701067615658363, ""f_score"": 0.8708815672306323, ""ap"": 0.8221521196952883, ""brier"": 0.12831858407079647, ""sensitivity"": 0.8716577540106952}"
6,1,3,3,0.99,0.9982300884955753,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8920353982300885, ""auc"": 0.8918484241415311, ""fpr"": [0.0, 0.1076923076923077, 1.0], ""tpr"": [0.0, 0.8917431192660551, 1.0], ""mcc"": 0.7838738099491032, ""tnr"": 0.8923076923076924, ""ppv"": 0.8852459016393442, ""f_score"": 0.8884826325411335, ""ap"": 0.8416243310258912, ""brier"": 0.1079646017699115, ""sensitivity"": 0.8917431192660551}"
7,1,3,3,0.99,0.9986725663716814,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8946902654867257, ""auc"": 0.8947046090326137, ""fpr"": [0.0, 0.10915492957746478, 1.0], ""tpr"": [0.0, 0.8985765124555161, 1.0], ""mcc"": 0.7894154004474302, ""tnr"": 0.8908450704225352, ""ppv"": 0.890652557319224, ""f_score"": 0.8945969884853854, ""ap"": 0.850761946641601, ""brier"": 0.10530973451327434, ""sensitivity"": 0.8985765124555161}"
8,1,3,3,0.99,0.9980088495575221,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8840707964601769, ""auc"": 0.885254621856651, ""fpr"": [0.0, 0.1453287197231834, 1.0], ""tpr"": [0.0, 0.9148550724637681, 1.0], ""mcc"": 0.7700176414002498, ""tnr"": 0.8546712802768166, ""ppv"": 0.8573853989813243, ""f_score"": 0.8851884312007011, ""ap"": 0.8259763016684184, ""brier"": 0.11592920353982301, ""sensitivity"": 0.9148550724637681}"
9,1,3,3,0.99,0.9995575221238938,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8823008849557522, ""auc"": 0.8828297530616341, ""fpr"": [0.0, 0.09911504424778761, 1.0], ""tpr"": [0.0, 0.863716814159292, 1.0], ""mcc"": 0.7651304552371572, ""tnr"": 0.9008849557522124, ""ppv"": 0.8970588235294118, ""f_score"": 0.8800721370604148, ""ap"": 0.8429463820926602, ""brier"": 0.11769911504424779, ""sensitivity"": 0.863716814159292}"
10,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8673469387755102, ""auc"": 0.8691331923890063, ""fpr"": [0.0, 0.09615384615384616, 1.0], ""tpr"": [0.0, 0.8260869565217391, 1.0], ""mcc"": 0.7340879228819083, ""tnr"": 0.9038461538461539, ""ppv"": 0.8837209302325582, ""f_score"": 0.853932584269663, ""ap"": 0.8116629867315986, ""brier"": 0.1326530612244898, ""sensitivity"": 0.8260869565217391}"
11,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8979591836734694, ""auc"": 0.8977889027951607, ""fpr"": [0.0, 0.09803921568627451, 1.0], ""tpr"": [0.0, 0.8936170212765957, 1.0], ""mcc"": 0.7955778055903212, ""tnr"": 0.9019607843137255, ""ppv"": 0.8936170212765957, ""f_score"": 0.8936170212765957, ""ap"": 0.849571788878521, ""brier"": 0.10204081632653061, ""sensitivity"": 0.8936170212765957}"
12,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8469387755102041, ""auc"": 0.8466666666666667, ""fpr"": [0.0, 0.1568627450980392, 1.0], ""tpr"": [0.0, 0.851063829787234, 1.0], ""mcc"": 0.6937670733403072, ""tnr"": 0.8431372549019608, ""ppv"": 0.8333333333333334, ""f_score"": 0.8421052631578947, ""ap"": 0.7806484295845998, ""brier"": 0.15306122448979592, ""sensitivity"": 0.851063829787234}"
13,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.826530612244898, ""auc"": 0.83276955602537, ""fpr"": [0.0, 0.24, 1.0], ""tpr"": [0.0, 0.8958333333333334, 1.0], ""mcc"": 0.660668399668051, ""tnr"": 0.76, ""ppv"": 0.7818181818181819, ""f_score"": 0.8349514563106797, ""ap"": 0.7513991960420532, ""brier"": 0.17346938775510204, ""sensitivity"": 0.8958333333333334}"
14,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8775510204081632, ""auc"": 0.8809523809523809, ""fpr"": [0.0, 0.07692307692307693, 1.0], ""tpr"": [0.0, 0.8260869565217391, 1.0], ""mcc"": 0.755507463439817, ""tnr"": 0.9230769230769231, ""ppv"": 0.9047619047619048, ""f_score"": 0.8636363636363636, ""ap"": 0.829044661342798, ""brier"": 0.12244897959183673, ""sensitivity"": 0.8260869565217391}"
15,3,3,3,0.975,0.9997209821428571,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8359375, ""auc"": 0.8359803393750872, ""fpr"": [0.0, 0.17155756207674944, 1.0], ""tpr"": [0.0, 0.8432671081677704, 1.0], ""mcc"": 0.6718351006863917, ""tnr"": 0.8284424379232506, ""ppv"": 0.834061135371179, ""f_score"": 0.8386388583973655, ""ap"": 0.7825773930881528, ""brier"": 0.1640625, ""sensitivity"": 0.8432671081677704}"
16,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8325892857142857, ""auc"": 0.8325892857142856, ""fpr"": [0.0, 0.17035398230088494, 1.0], ""tpr"": [0.0, 0.8355855855855856, 1.0], ""mcc"": 0.6652050868281566, ""tnr"": 0.8296460176991151, ""ppv"": 0.828125, ""f_score"": 0.8318385650224216, ""ap"": 0.7734425273487774, ""brier"": 0.16741071428571427, ""sensitivity"": 0.8355855855855856}"
17,3,3,3,0.975,0.9997209821428571,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8370535714285714, ""auc"": 0.8368244658567239, ""fpr"": [0.0, 0.16666666666666666, 1.0], ""tpr"": [0.0, 0.8405172413793104, 1.0], ""mcc"": 0.6737497456694624, ""tnr"": 0.8333333333333334, ""ppv"": 0.8441558441558441, ""f_score"": 0.8423326133909287, ""ap"": 0.7921168271383788, ""brier"": 0.16294642857142858, ""sensitivity"": 0.8405172413793104}"
