,Unnamed: 0,dataid,cv,training_score,tune_param,acc,auc
2,2,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [14], 'num_iterations': [1000], 'num_leaves': [100]}",0.8826963906581741,0.8822478802092729
13,13,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [50]}",0.8950617283950617,0.9072957969865186
14,14,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [100]}",0.8950617283950617,0.9072957969865186
15,15,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [500]}",0.8950617283950617,0.9072957969865186
16,16,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [1000]}",0.8950617283950617,0.9072957969865186
17,17,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [50]}",0.8950617283950617,0.9072957969865186
18,18,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [100]}",0.8950617283950617,0.9072957969865186
19,19,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [500]}",0.8950617283950617,0.9072957969865186
20,20,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [1000]}",0.8950617283950617,0.9072957969865186
21,21,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [50]}",0.8950617283950617,0.9072957969865186
22,22,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [100]}",0.8950617283950617,0.9072957969865186
23,23,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [500]}",0.8950617283950617,0.9072957969865186
24,24,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [1000]}",0.8950617283950617,0.9072957969865186
29,29,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [50]}",0.8950617283950617,0.9072957969865186
30,30,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [100]}",0.8950617283950617,0.9072957969865186
31,31,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [500]}",0.8950617283950617,0.9072957969865186
32,32,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [1000]}",0.8950617283950617,0.9072957969865186
33,33,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [50]}",0.8950617283950617,0.9072957969865186
34,34,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [100]}",0.8950617283950617,0.9072957969865186
35,35,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [500]}",0.8950617283950617,0.9072957969865186
36,36,2,0,0.8919753086419753,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [1000]}",0.8950617283950617,0.9072957969865186
