,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores
0,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.75], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9418967587034814, ""auc"": 0.9430427864255848, ""fpr"": [0.0, 0.08476190476190476, 1.0], ""tpr"": [0.0, 0.9690072639225181, 1.0], ""mcc"": 0.885164987792005, ""tnr"": 0.9152380952380952, ""ppv"": 0.9183111519045434, ""f_score"": 0.9429783223374175, ""ap"": 0.905216323195141, ""brier"": 0.05810324129651861, ""sensitivity"": 0.9690072639225181}"
1,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.75], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [8], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9418967587034814, ""auc"": 0.9430867619544157, ""fpr"": [0.0, 0.08523809523809524, 1.0], ""tpr"": [0.0, 0.9694915254237289, 1.0], ""mcc"": 0.8852129564438574, ""tnr"": 0.9147619047619048, ""ppv"": 0.9179275561668959, ""f_score"": 0.9430051813471502, ""ap"": 0.9050490370768874, ""brier"": 0.05810324129651861, ""sensitivity"": 0.9694915254237289}"
2,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.75], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9409363745498199, ""auc"": 0.9422144788849593, ""fpr"": [0.0, 0.08714285714285715, 1.0], ""tpr"": [0.0, 0.9694915254237289, 1.0], ""mcc"": 0.8833882006668005, ""tnr"": 0.9128571428571428, ""ppv"": 0.9162471395881007, ""f_score"": 0.9421176470588235, ""ap"": 0.9034198874445639, ""brier"": 0.059063625450180075, ""sensitivity"": 0.9694915254237289}"
3,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9411764705882353, ""auc"": 0.942299302675841, ""fpr"": [0.0, 0.08523809523809524, 1.0], ""tpr"": [0.0, 0.9680387409200969, 1.0], ""mcc"": 0.8836991682545952, ""tnr"": 0.9147619047619048, ""ppv"": 0.9178145087235996, ""f_score"": 0.9422578364364836, ""ap"": 0.9043263399584048, ""brier"": 0.058823529411764705, ""sensitivity"": 0.9680387409200969}"
4,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [8], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9414165666266506, ""auc"": 0.9426502517157394, ""fpr"": [0.0, 0.08619047619047619, 1.0], ""tpr"": [0.0, 0.9694915254237289, 1.0], ""mcc"": 0.8843002112222704, ""tnr"": 0.9138095238095238, ""ppv"": 0.9170865781035272, ""f_score"": 0.9425612052730696, ""ap"": 0.9042337159713842, ""brier"": 0.05858343337334934, ""sensitivity"": 0.9694915254237289}"
5,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9426170468187275, ""auc"": 0.9438762797861737, ""fpr"": [0.0, 0.08523809523809524, 1.0], ""tpr"": [0.0, 0.9709443099273608, 1.0], ""mcc"": 0.8867287968254615, ""tnr"": 0.9147619047619048, ""ppv"": 0.918040293040293, ""f_score"": 0.9437514709343374, ""ap"": 0.9057717611164413, ""brier"": 0.05738295318127251, ""sensitivity"": 0.9709443099273608}"
6,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.85], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9423769507803121, ""auc"": 0.9437050583394939, ""fpr"": [0.0, 0.08619047619047619, 1.0], ""tpr"": [0.0, 0.9714285714285714, 1.0], ""mcc"": 0.8863234406151757, ""tnr"": 0.9138095238095238, ""ppv"": 0.9172382258802012, ""f_score"": 0.9435559736594544, ""ap"": 0.9051970856929877, ""brier"": 0.057623049219687875, ""sensitivity"": 0.9714285714285714}"
7,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.85], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [8], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9418967587034814, ""auc"": 0.9430427864255848, ""fpr"": [0.0, 0.08476190476190476, 1.0], ""tpr"": [0.0, 0.9690072639225181, 1.0], ""mcc"": 0.885164987792005, ""tnr"": 0.9152380952380952, ""ppv"": 0.9183111519045434, ""f_score"": 0.9429783223374175, ""ap"": 0.905216323195141, ""brier"": 0.05810324129651861, ""sensitivity"": 0.9690072639225181}"
8,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.85], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9433373349339735, ""auc"": 0.9445755038590559, ""fpr"": [0.0, 0.08428571428571428, 1.0], ""tpr"": [0.0, 0.9714285714285714, 1.0], ""mcc"": 0.8881463648625131, ""tnr"": 0.9157142857142857, ""ppv"": 0.918918918918919, ""f_score"": 0.9444444444444445, ""ap"": 0.9068297589305994, ""brier"": 0.05666266506602641, ""sensitivity"": 0.9714285714285714}"
9,1,3,3,0.99,0.9971238938053097,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.95], ""lambda_l1"": [0.1], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8672566371681416, ""auc"": 0.8672374257574619, ""fpr"": [0.0, 0.14013840830449828, 1.0], ""tpr"": [0.0, 0.875, 1.0], ""mcc"": 0.7346681961569959, ""tnr"": 0.8598615916955017, ""ppv"": 0.8563829787234043, ""f_score"": 0.8655913978494624, ""ap"": 0.8103970532856336, ""brier"": 0.13274336283185842, ""sensitivity"": 0.875}"
