,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores
0,0,5,5,0.99,1.0,{},"{""acc"": 0.9478991596638655, ""auc"": 0.9481789046574529, ""fpr"": [0.0, 0.0654562828475872, 1.0], ""tpr"": [0.0, 0.9613899613899614, 1.0], ""mcc"": 0.8961457188368906, ""tnr"": 0.9345437171524128, ""ppv"": 0.9356505401596994, ""f_score"": 0.9483456319923828, ""ap"": 0.9187327197518592, ""brier"": 0.052100840336134456, ""sensitivity"": 0.9613899613899614}"
1,0,5,5,0.99,1.0,{},"{""acc"": 0.9478991596638655, ""auc"": 0.9483808447064523, ""fpr"": [0.0, 0.07139479905437353, 1.0], ""tpr"": [0.0, 0.9678048780487805, 1.0], ""mcc"": 0.8965858669674532, ""tnr"": 0.9286052009456265, ""ppv"": 0.9292740046838408, ""f_score"": 0.9481481481481482, ""ap"": 0.9152022533123606, ""brier"": 0.052100840336134456, ""sensitivity"": 0.9678048780487805}"
2,0,5,5,0.99,1.0,{},"{""acc"": 0.9447779111644657, ""auc"": 0.9458816022218028, ""fpr"": [0.0, 0.07897286821705427, 1.0], ""tpr"": [0.0, 0.9681104236078059, 1.0], ""mcc"": 0.8904494121433348, ""tnr"": 0.9210271317829457, ""ppv"": 0.9258079198907602, ""f_score"": 0.9464867380176827, ""ap"": 0.912370732078735, ""brier"": 0.055222088835534214, ""sensitivity"": 0.9681104236078059}"
3,0,5,5,0.99,1.0,{},"{""acc"": 0.9450180072028812, ""auc"": 0.9454596432985496, ""fpr"": [0.0, 0.07659971975712283, 1.0], ""tpr"": [0.0, 0.9678853754940712, 1.0], ""mcc"": 0.8911024523383323, ""tnr"": 0.9234002802428771, ""ppv"": 0.9227508243052285, ""f_score"": 0.9447793585724621, ""ap"": 0.9087232705671285, ""brier"": 0.05498199279711885, ""sensitivity"": 0.9678853754940712}"
4,0,5,5,0.99,1.0,{},"{""acc"": 0.9423769507803121, ""auc"": 0.9437277711709078, ""fpr"": [0.0, 0.08627264061010487, 1.0], ""tpr"": [0.0, 0.9714562167392357, 1.0], ""mcc"": 0.8863188312485218, ""tnr"": 0.9137273593898951, ""ppv"": 0.9173138419369575, ""f_score"": 0.943609022556391, ""ap"": 0.9052959007171166, ""brier"": 0.057623049219687875, ""sensitivity"": 0.9714562167392357}"
5,1,3,3,0.99,1.0,{},"{""acc"": 0.9008849557522124, ""auc"": 0.9009009573454965, ""fpr"": [0.0, 0.10247349823321555, 1.0], ""tpr"": [0.0, 0.9042553191489362, 1.0], ""mcc"": 0.8017918677404102, ""tnr"": 0.8975265017667845, ""ppv"": 0.897887323943662, ""f_score"": 0.9010600706713782, ""ap"": 0.8597069992919294, ""brier"": 0.09911504424778761, ""sensitivity"": 0.9042553191489362}"
6,1,3,3,0.99,1.0,{},"{""acc"": 0.8814159292035398, ""auc"": 0.88240006282887, ""fpr"": [0.0, 0.1438721136767318, 1.0], ""tpr"": [0.0, 0.9065255731922398, 1.0], ""mcc"": 0.7637260383611197, ""tnr"": 0.8561278863232682, ""ppv"": 0.8638655462184874, ""f_score"": 0.8846815834767643, ""ap"": 0.8300188643139983, ""brier"": 0.11858407079646018, ""sensitivity"": 0.9065255731922398}"
7,1,3,3,0.99,1.0,{},"{""acc"": 0.8849557522123894, ""auc"": 0.8852699751487311, ""fpr"": [0.0, 0.12949640287769784, 1.0], ""tpr"": [0.0, 0.8989547038327527, 1.0], ""mcc"": 0.7699989356965875, ""tnr"": 0.8705035971223022, ""ppv"": 0.8775510204081632, ""f_score"": 0.8881239242685025, ""ap"": 0.8402060512774688, ""brier"": 0.11504424778761062, ""sensitivity"": 0.8989547038327527}"
8,1,3,3,0.99,1.0,{},"{""acc"": 0.8876106194690265, ""auc"": 0.8876198303553502, ""fpr"": [0.0, 0.12021857923497267, 1.0], ""tpr"": [0.0, 0.8950086058519794, 1.0], ""mcc"": 0.775014811056281, ""tnr"": 0.8797814207650273, ""ppv"": 0.8873720136518771, ""f_score"": 0.8911739502999143, ""ap"": 0.8481878896955859, ""brier"": 0.11238938053097346, ""sensitivity"": 0.8950086058519794}"
9,1,3,3,0.99,1.0,{},"{""acc"": 0.8973451327433628, ""auc"": 0.8997012578616354, ""fpr"": [0.0, 0.14310344827586208, 1.0], ""tpr"": [0.0, 0.94, 1.0], ""mcc"": 0.7981485502207438, ""tnr"": 0.8568965517241379, ""ppv"": 0.8616666666666667, ""f_score"": 0.8991304347826086, ""ap"": 0.8391702064896754, ""brier"": 0.10265486725663717, ""sensitivity"": 0.94}"
