iter	Passed	Remaining
401	18524	27556
402	18572	27513
403	18618	27467
404	18660	27414
405	18705	27366
406	18745	27311
407	18787	27260
408	18829	27207
409	18877	27165
410	18925	27121
411	18967	27069
412	19009	27018
413	19053	26969
414	19093	26914
415	19139	26869
416	19188	26827
417	19233	26780
418	19276	26729
419	19320	26680
420	19369	26638
421	19411	26586
422	19457	26541
423	19500	26490
424	19540	26437
425	19586	26391
426	19646	26363
427	19697	26324
428	19745	26281
429	19787	26230
430	19834	26184
431	19883	26143
432	19928	26095
433	19974	26049
434	20018	26001
435	20062	25952
436	20109	25908
437	20152	25858
438	20215	25833
439	20265	25792
440	20306	25740
441	20351	25692
442	20394	25642
443	20439	25595
444	20484	25548
445	20526	25497
446	20569	25446
447	20612	25397
448	20657	25350
449	20702	25302
450	20750	25259
451	20802	25220
452	20851	25178
453	20901	25136
454	20945	25089
455	20989	25040
456	21031	24989
457	21074	24939
458	21119	24892
459	21164	24845
460	21208	24796
461	21253	24750
462	21300	24704
463	21347	24660
464	21390	24610
465	21434	24561
466	21476	24512
467	21519	24462
468	21558	24408
469	21606	24364
470	21655	24321
471	21705	24280
472	21750	24233
473	21797	24188
474	21846	24146
475	21897	24105
476	21951	24067
477	22002	24027
478	22050	23984
479	22091	23932
480	22145	23895
481	22223	23882
482	22308	23878
483	22389	23869
484	22467	23857
485	22528	23826
486	22597	23804
487	22667	23782
488	22730	23753
489	22800	23730
490	22875	23714
491	22937	23683
492	22997	23650
493	23047	23607
494	23114	23581
495	23180	23554
496	23243	23524
497	23300	23487
498	23363	23457
499	23429	23429
500	23497	23403
501	23561	23373
502	23624	23343
503	23685	23309
504	23745	23275
505	23808	23243
506	23866	23207
507	23922	23169
508	23982	23134
509	24038	23095
510	24104	23066
511	24163	23031
512	24221	22993
513	24278	22955
514	24330	22912
515	24391	22878
516	24442	22835
517	24493	22791
518	24539	22742
519	24588	22696
520	24635	22649
521	24679	22599
522	24726	22552
523	24769	22500
524	24815	22452
525	24862	22404
526	24911	22358
527	24954	22307
528	25002	22261
529	25071	22233
530	25116	22184
531	25162	22135
532	25207	22086
533	25247	22032
534	25290	21981
535	25330	21928
536	25377	21880
537	25427	21835
538	25469	21783
539	25523	21742
540	25588	21709
541	25649	21674
542	25706	21634
543	25756	21589
544	25809	21547
545	25865	21507
546	25916	21463
547	25964	21416
548	26025	21379
549	26087	21344
550	26142	21303
551	26201	21265
552	26261	21227
553	26318	21187
554	26373	21146
555	26423	21101
556	26479	21059
557	26535	21018
558	26588	20975
559	26647	20937
560	26712	20903
561	26771	20864
562	26830	20825
563	26884	20782
564	26935	20737
565	26990	20696
566	27038	20648
567	27096	20608
568	27161	20574
569	27233	20544
570	27293	20506
571	27358	20470
572	27425	20437
573	27490	20402
574	27555	20367
575	27623	20333
576	27691	20300
577	27758	20266
578	27820	20228
579	27900	20204
580	27965	20168
581	28025	20128
582	28088	20090
583	28140	20045
584	28201	20006
585	28258	19964
586	28321	19926
587	28376	19882
588	28434	19841
589	28492	19800
590	28548	19757
591	28609	19717
592	28668	19676
593	28721	19631
594	28771	19583
595	28824	19538
596	28886	19499
597	28935	19451
598	28984	19403
599	29048	19365
600	29120	19333
601	29192	19300
602	29254	19260
603	29313	19218
604	29379	19181
605	29441	19141
606	29506	19103
607	29573	19067
608	29641	19030
609	29705	18991
610	29763	18949
611	29817	18904
612	29879	18863
613	29933	18818
614	29987	18772
615	30041	18727
616	30091	18679
617	30143	18632
618	30199	18588
619	30253	18542
620	30325	18507
621	30387	18467
622	30449	18426
623	30503	18380
624	30555	18333
625	30612	18288
626	30666	18243
627	30718	18196
628	30774	18151
629	30823	18102
630	30880	18058
631	30936	18013
632	30996	17971
633	31046	17922
634	31099	17876
635	31159	17833
636	31208	17784
637	31259	17736
638	31316	17692
639	31379	17650
640	31455	17616
641	31529	17582
642	31597	17543
643	31659	17501
644	31721	17458
645	31782	17416
646	31845	17374
647	31920	17339
648	31988	17300
649	32046	17255
650	32114	17216
651	32184	17178
652	32247	17136
653	32316	17096
654	32378	17054
655	32432	17007
656	32491	16962
657	32547	16916
658	32606	16872
659	32665	16827
660	32723	16782
661	32783	16738
662	32842	16693
663	32897	16646
664	32949	16598
665	33015	16557
666	33072	16511
667	33130	16466
668	33188	16420
669	33241	16372
670	33311	16333
671	33371	16288
672	33426	16241
673	33483	16195
674	33540	16149
675	33593	16101
676	33646	16053
677	33698	16004
678	33748	15954
679	33802	15906
680	33867	15864
681	33926	15819
682	33983	15772
683	34032	15722
684	34088	15675
685	34137	15625
686	34188	15576
687	34237	15526
688	34294	15479
689	34352	15433
690	34406	15385
691	34459	15337
692	34508	15287
693	34564	15240
694	34625	15195
695	34674	15145
696	34724	15095
697	34779	15047
698	34834	15000
699	34887	14951
700	34943	14904
701	35000	14857
702	35066	14814
703	35124	14768
704	35188	14724
705	35255	14681
706	35317	14636
707	35374	14589
708	35424	14539
709	35479	14491
710	35536	14444
711	35591	14396
712	35649	14349
713	35707	14303
714	35758	14253
715	35817	14207
716	35876	14160
717	35928	14111
718	35975	14060
719	36033	14012
720	36091	13966
721	36145	13917
722	36206	13871
723	36273	13827
724	36334	13781
725	36393	13735
726	36449	13687
727	36502	13638
728	36554	13589
729	36611	13541
730	36668	13493
731	36717	13442
732	36771	13394
733	36826	13345
734	36879	13296
735	36933	13247
736	36983	13197
737	37037	13148
738	37089	13099
739	37147	13051
740	37202	13003
741	37253	12953
742	37305	12903
743	37357	12854
744	37418	12807
745	37482	12762
746	37538	12713
747	37603	12668
748	37662	12621
749	37719	12573
750	37771	12523
751	37825	12474
752	37882	12426
753	37931	12375
754	37985	12326
755	38035	12276
756	38092	12227
757	38144	12177
758	38196	12128
